Field,Value
Title,Space2Stats Database
Description,A global dataset of geospatial variables at the grid level (hexagon H3 level 6).
TTL,Ben Stewart
Business Unit,DECSC
Collaborator,Andres Chamorro
Classification,Public
License,Creative Commons Attribution 4.0
,
Data Resource,
Classification,Public
Resource URL,https://space2stats.ds.io/docs
Resource Title,Space2Stats API
Description Resource,"This database contains geospatial statistics for the entire globe standardized to a hexagonal grid. The spatial unit of the dataset is the H3 level 6 (approximately 36 sq. km. per cell). The variables cover a wide range of geographic themes relevant to international development, including demographic, socio-economic, environmental, climate, and infrastructure. An API enables users to query, access, and aggregate statistics from the Space2Stats database. The purpose of this API is to facilitate the generation of sub-national geospatial aggregates for any administrative boundary set."
Release Note,test
Release Date,"45,526"
First Published Date,"45,526"
Maintenance and Update Frequency,No fixed schedule
Maintenance Note,
